Wavelength	n	k
0.03107	0.84	0.0505
0.03179	0.831	0.0649
0.03263	0.834	0.0731
0.03351	0.831	0.0703
0.03444	0.815	0.0707
0.03542	0.801	0.0739
0.03646	0.781	0.0767
0.03757	0.76	0.0863
0.03874	0.737	0.102
0.03999	0.715	0.124
0.04133	0.698	0.148
0.04275	0.681	0.172
0.04428	0.658	0.2
0.04592	0.633	0.231
0.04768	0.602	0.278
0.04959	0.583	0.348
0.05166	0.589	0.431
0.0539	0.628	0.497
0.05635	0.667	0.545
0.05904	0.702	0.587
0.06199	0.749	0.622
0.06525	0.793	0.627
0.06888	0.811	0.628
0.07293	0.791	0.634
0.07749	0.747	0.689
0.08265	0.759	0.795
0.08856	0.793	0.874
0.09537	0.86	0.948
0.1033	0.855	0.976
0.1127	0.823	1.17
0.124	1	1.38
0.1305	1.09	1.43
0.1378	1.19	1.49
0.1459	1.28	1.49
0.155	1.38	1.53
0.1653	1.46	1.58
0.1771	1.55	1.64
0.1907	1.69	1.66
0.2066	1.85	1.71
0.2254	2.06	1.64
0.248	2.25	1.54
0.2755	2.31	1.38
0.31	2.27	1.23
0.3542	2.14	1.06
0.4133	1.74	1.04
0.4959	1.2	1.65
0.6199	1.32	2.69
0.8266	1.82	3.81
1.2399	2.69	5.04
2.4797	4.52	8.25
